benchmark,model,framework,algorithm,dataset,dpo_profit_pa,dpo_sharpe,dpo_annualized_return,dpo_annualized_volatility,dpo_var_5,dpo_avg_turnover,dpo_tc_adjusted_annual_return,runtime_seconds,notes
benchmark1,Equal Weight,PyTorch,Naive baseline,original_paper_subset_4assets_240rows,0.5217422927810038,3.3841485619814686,0.5123031511338194,0.1118170590224423,0.0077821953484557,0.0,0.5123031511338194,0.0,static 1/N allocation
benchmark1,Mean Variance Optimization,PyTorch,Convex optimization,original_paper_subset_4assets_240rows,0.2284780869574174,0.9695377511850612,0.211167472925589,0.1692146765476374,0.0133795673624311,1.260638691545675,0.2030789776181585,0.5,DPO re-optimized every 30 days
benchmark1,Classical DDPG,PyTorch,DDPG,original_paper_subset_4assets_240rows,0.4410842412633857,3.1508236019654365,0.4335212603987364,0.1027859818185577,0.0078471766211235,0.0009362921118736,0.4334932619028122,3.6,epochs=25/25; DPO rebalance every 10 days
benchmark1,Classical Deep Q-Learning,PyTorch,Deep Q-Learning,original_paper_subset_4assets_240rows,-0.1311475546455209,-0.974783230121115,-0.1461897393530888,0.1870597048121109,0.0176915713046195,0.0857073385268449,-0.147714101531836,0.1,epochs=6/25 (early stop); DPO rebalance every 10 days
benchmark1,PennyLane QDPG,PennyLane,DDPG,original_paper_subset_4assets_240rows,0.2590046605918084,0.8402280825569075,0.2276024192581793,0.2244945899312244,0.0236217961353356,0.8673422250431031,0.2056028052659604,9.1,epochs=25/25; DPO rebalance every 10 days
benchmark1,PennyLane Quantum Q-Learning,PennyLane,Deep Q-Learning,original_paper_subset_4assets_240rows,0.2847003508893602,0.9400999432952524,0.2533274691915232,0.2221572075997001,0.0231421944686952,0.8546060882508755,0.2311963992883681,32.6,epochs=25/25; DPO rebalance every 10 days
benchmark1,Qiskit QDPG,Qiskit,DDPG,original_paper_subset_4assets_240rows,0.3129907626547392,1.1074888230411808,0.2848115141291027,0.2082681317114544,0.0205328225944059,0.8425928810611367,0.2624457641187911,883.7,epochs=25/25; DPO rebalance every 10 days
benchmark1,Qiskit Quantum Q-Learning,Qiskit,Deep Q-Learning,original_paper_subset_4assets_240rows,0.1885115285578897,0.5370111188353134,0.1535215041875004,0.2438698965842098,0.0270347647513349,0.9358942580875008,0.1312226833815526,2346.995703935623,epochs=25/25; DPO rebalance every 10 days
benchmark2,Equal Weight,PyTorch,Naive baseline,custom_nonpaper_10,0.3596675419280841,1.3702786514594998,0.3344398026277608,0.19384922108425,0.0179151542349019,0.0,0.3344398026277608,5.1975250244140625e-05,static 1/N allocation
benchmark2,Mean Variance Optimization,PyTorch,Convex optimization,custom_nonpaper_10,1.123870968574166,1.548702788794588,0.910368344359852,0.4601057486263101,0.0455138214929049,3.071791469327509,0.8808418771565047,0.4811968803405761,DPO re-optimized every 30 days
benchmark2,Classical DDPG,PyTorch,DDPG,custom_nonpaper_10,0.5226582948957723,1.5653680751945989,0.4788190412952915,0.2421210023562391,0.0200314716138881,0.009520949904173,0.4781577754266639,4.4423651695251465,epochs=14/25 (early stop); DPO rebalance every 5 days
benchmark2,Classical Deep Q-Learning,PyTorch,Deep Q-Learning,custom_nonpaper_10,3.496337607380209,2.3742005663684185,2.7155625398854735,0.6174523093533778,0.0695318048299305,0.0408333119832807,2.708490665822379,0.2217121124267578,epochs=8/25 (early stop); DPO rebalance every 5 days
benchmark2,PennyLane QDPG,PennyLane,DDPG,custom_nonpaper_10,55.584833303766295,3.636027103458499,30.10637864623916,1.107370653750828,0.0992081849142145,1.3546928385282324,28.258524531511807,14.678400993347168,epochs=25/25; DPO rebalance every 5 days
benchmark2,PennyLane Quantum Q-Learning,PennyLane,Deep Q-Learning,custom_nonpaper_10,65.2332689957832,3.5450376855530505,32.52736766533987,1.180936194995312,0.1077763066303148,1.3726099943742156,30.51755782177182,34.2847318649292,epochs=25/25; DPO rebalance every 5 days
benchmark2,Qiskit QDPG,Qiskit,DDPG,custom_nonpaper_10,42.30455761565117,3.569355834213789,24.221780525934612,1.0519468512462566,0.087520135139127,1.4800153069599118,22.584781144216603,2424.8949539661407,epochs=5/5; reduced Qiskit epoch budget (parity-verified vs PennyLane); DPO rebalance every 5 days
benchmark2,Qiskit Quantum Q-Learning,Qiskit,Deep Q-Learning,custom_nonpaper_10,38.37544988992747,3.5236255196114494,22.24636647539745,1.0382041122929366,0.0859735035159057,1.4581425501188885,20.758928898771515,3231.405028820038,epochs=5/5; reduced Qiskit epoch budget (parity-verified vs PennyLane); DPO rebalance every 5 days
